id,state_name,state_abbr,region,program_family,state_program_name,administering_agency,application_portal,source_url,federal_anchor_url,benefit_type,target_population,eligibility_lenses,income_rule_summary,work_rule_summary,immigration_note,recertification_burden,digital_access_notes,appeal_contact_notes,advocacy_barrier_tags,waiver_or_expansion_tags,verification_status,last_reviewed,notes
ca-snap,California,CA,West,SNAP,CalFresh,California Department of Social Services (CDSS),https://benefitscal.com,https://www.cdss.ca.gov/calfresh,https://www.fns.usda.gov/snap/state-directory,Nutrition assistance (EBT),Low-income households,income; household composition; immigration; work requirement,Generally up to 200% FPL gross for most households under CA's broad-based categorical eligibility; net income test still applies. Verify current thresholds at CDSS.,ABAWD time limits subject to federal rules and state waivers in specified counties; verify current ABAWD waiver status before advising clients.,California Food Assistance Program (CFAP) extends nutrition benefits to certain non-citizens ineligible for federal SNAP; expansion to adults 55+ underway.,Periodic reporting (SAR-7) plus annual recertification; missed reports a common cause of churn.,BenefitsCal statewide portal; GetCalFresh.org assists with applications; phone and in-person intake at county offices.,State hearings via CDSS State Hearings Division; clients have limited days to request a hearing after adverse action.,churn risk; ABAWD time limits; language access; documentation burden,CFAP non-citizen expansion; ABAWD county waivers,verified official source,2025-01,CalFresh is California's SNAP. Counties administer locally under CDSS supervision. Always confirm current ABAWD county map and CFAP eligibility before counseling.
ca-tanf,California,CA,West,TANF/Cash Assistance,CalWORKs,"California Department of Social Services (CDSS), county welfare departments",https://benefitscal.com,https://www.cdss.ca.gov/calworks,https://www.acf.hhs.gov/ofa/programs/tanf,Cash assistance + welfare-to-work services,Families with minor children below income threshold,income; household composition; child custody; work requirement; time limits,Income limits set by region and family size; do not quote a specific MAP grant without consulting current CDSS schedule.,Welfare-to-work participation hours required for non-exempt adults; sanctions for noncompliance subject to due-process protections.,CalWORKs available to certain qualified non-citizens; CAPI is a parallel state-funded program for aged/blind/disabled non-citizens.,Periodic and annual reporting; redeterminations triggered by income or household change.,BenefitsCal portal; county offices for in-person intake.,State hearing rights via CDSS; advocates should preserve continuing benefits pending hearing where applicable.,time limits; sanction risk; child-only case complexity; housing instability,CalWORKs Homeless Assistance; Housing Support Program,verified official source,2025-01,CalWORKs Homeless Assistance (HA) provides temporary and permanent housing aid; Housing Support Program (HSP) coordinates with CoC providers — high-leverage tools for tenant-rights advocates.
ca-medicaid,California,CA,West,Medicaid,Medi-Cal,California Department of Health Care Services (DHCS),https://www.coveredca.com,https://www.dhcs.ca.gov/services/medi-cal,https://www.medicaid.gov/about-us/where-can-people-get-help-medicaid-chip/index.html,Comprehensive health coverage,Low-income individuals and families; ACA expansion adults; seniors; persons with disabilities,income (MAGI and non-MAGI); categorical (aged/blind/disabled); immigration,"MAGI-based eligibility up to 138% FPL for adults under ACA expansion; higher thresholds for children, pregnant individuals, and certain categorical groups.",No federal work requirement; verify any state demonstration changes.,"California has expanded full-scope Medi-Cal to income-eligible residents regardless of immigration status across age groups, completed in stages through 2024.",Annual redetermination; ex parte renewal expanded post-PHE unwinding.,Covered California and BenefitsCal; county social services offices.,State Fair Hearing via CDSS; aid paid pending in many circumstances.,renewal churn; language access; managed care navigation,CalAIM 1115 waiver; full-scope expansion regardless of status,verified official source,2025-01,CalAIM introduces Enhanced Care Management and Community Supports (including housing navigation/deposits) — directly relevant to homelessness-prevention advocacy.
ca-chip,California,CA,West,CHIP,Medi-Cal for Kids (CHIP via Medicaid expansion),California Department of Health Care Services (DHCS),https://www.coveredca.com,https://www.dhcs.ca.gov/services/medi-cal,https://www.medicaid.gov/chip/index.html,Children's health coverage,Children under 19 in income-eligible households,income; age; immigration,Children covered to higher FPL thresholds than adult Medi-Cal; confirm current bands at DHCS.,Not applicable.,Full-scope Medi-Cal for all income-eligible children regardless of immigration status (effective 2016 onward).,Annual redetermination via ex parte where feasible.,"Covered California, BenefitsCal, county offices.",State Fair Hearing via CDSS.,renewal churn; transition from CHIP-only structure,unified Medi-Cal coverage including CHIP population,verified official source,2025-01,California operates CHIP-funded coverage within Medi-Cal; no separate CHIP-only program for most beneficiaries.
ca-wic,California,CA,West,WIC,California WIC,"California Department of Public Health, WIC Division",https://m.wic.ca.gov,https://www.cdph.ca.gov/Programs/CFH/DWICSN/Pages/Program-Landing1.aspx,https://www.fns.usda.gov/wic/program-contacts,Nutrition assistance for pregnant/postpartum people and young children,"Pregnant, postpartum, breastfeeding people; infants and children under 5",income (185% FPL typical); categorical; nutrition risk,Income at or below 185% FPL; adjunctive eligibility through Medi-Cal/CalFresh/CalWORKs.,Not applicable.,WIC has no immigration status restriction for participants; participation is not a public charge factor.,Certification periods vary by category; in-person or remote appointments depending on local agency.,WIC card (eWIC); WIC Shopper app for benefit balance.,Fair hearing process through CDPH WIC.,appointment access; store stocking gaps; stigma,remote certification flexibilities,verified official source,2025-01,Outreach key: many income-eligible families do not enroll. WIC participation is not counted in public charge determinations.
ca-liheap,California,CA,West,LIHEAP,California LIHEAP (HEAP / ECIP),California Department of Community Services and Development (CSD),https://www.csd.ca.gov/energybills,https://www.csd.ca.gov/pages/liheapprogram.aspx,https://liheapch.acf.hhs.gov/search-tool/,"Energy bill assistance, weatherization, crisis aid",Low-income households with energy burden,income; energy burden; household composition,Eligibility tied to state-published income thresholds (a percentage of state median income); verify current SMI table at CSD.,Not applicable.,No federal immigration status restriction on LIHEAP funds; verify any state-level documentation requests with local provider.,"Annual application; first-come, first-served until funds exhausted.",Local Service Provider (LSP) network handles intake; CSD portal lists providers by ZIP.,Appeal first through LSP; escalate to CSD as needed.,funds exhaust early; LSP capacity varies; shutoff prevention urgency,seasonal crisis intervention (ECIP),verified official source,2026-05,Source URL corrected during May 2026 audit. Pair LIHEAP with utility company CARE/FERA discount programs for sustained relief; CSD notes local providers prioritize households with greatest need when funds are limited.
ca-housing,California,CA,West,Housing Choice Voucher / Public Housing,Section 8 HCV / Public Housing (administered by local PHAs),"Local Public Housing Authorities (e.g., HACLA, SFHA, HACA) under HUD",Varies by PHA; many use waitlist portals,https://www.hud.gov/topics/rental_assistance,https://www.hud.gov/topics/rental_assistance,Rental subsidy (tenant-based and project-based),Very low-income households (typically <=50% AMI),income (AMI); household composition; immigration; criminal history (PHA-specific),HUD income limits by county AMI; 75% of new vouchers must go to extremely low-income (<=30% AMI) households.,No federal work requirement; some PHAs operate Family Self-Sufficiency (FSS).,Mixed-status households may receive prorated assistance; CA has state-funded supplements in some jurisdictions.,Annual recertification; interim re-exams for income changes; biennial inspections.,Waitlists often opened by lottery; check individual PHA portals.,Informal review for applicants; informal hearing for participants prior to termination.,closed waitlists; source-of-income discrimination; landlord refusal; voucher utilization gaps; RAD conversion impact,CA source-of-income protection (FEHA); Emergency Housing Vouchers (EHV),national directory anchored,2026-05,"May 2026 audit found the former HUD California renting URL returned 404, so this record is anchored to HUD's national rental assistance page pending a stronger California PHA-directory source. CA bans source-of-income discrimination including vouchers (Gov. Code 12955). Critical for tenant-rights enforcement."
ca-ui,California,CA,West,Unemployment Insurance,California Unemployment Insurance,California Employment Development Department (EDD),https://edd.ca.gov/en/unemployment,https://edd.ca.gov/en/unemployment,https://oui.doleta.gov/unemploy/agencies.asp,Wage replacement for unemployed workers,Workers separated through no fault of their own; able and available for work,wage history (base period); separation reason; able and available; work search,Weekly benefit amount derived from highest-earning base-period quarter; verify current min/max at EDD.,"Must be able, available, and actively searching for work; verify work-search compliance rules.",Claimants must be authorized to work in the U.S. during the base period and while claiming.,Biweekly certification; missed certs cause delays.,UI Online portal; ID.me identity verification often required.,Appeals to California Unemployment Insurance Appeals Board (CUIAB) within statutory deadline.,ID.me access barriers; fraud-flag freezes; overpayment notices; language access,historical PUA/PEUC programs (expired),verified official source,2025-01,EDD overpayment notices and identity-verification freezes have been recurring access issues; preserve appeal deadlines.
ca-ssi,California,CA,West,SSI/SSDI/State Supplements,SSI/SSP and CAPI,SSA (federal); CDSS (SSP and CAPI),https://www.ssa.gov/apply,https://www.cdss.ca.gov/inforesources/ssi-ssp,https://www.ssa.gov/ssi/,Cash assistance for aged/blind/disabled; state supplement,"Aged 65+, blind, or disabled with limited income/resources",categorical (age/blindness/disability); income; resources; immigration,Federal SSI plus California State Supplementary Payment (SSP); verify current combined amounts at CDSS.,"SSDI work-incentive rules (TWP, EPE); SSI countable income reduces benefits.",Cash Assistance Program for Immigrants (CAPI) covers certain non-citizens ineligible for SSI.,SSA redeterminations; CDRs (continuing disability reviews) per SSA schedule.,SSA my Social Security account; in-person field office appointments.,"SSA appeals: reconsideration, ALJ hearing, Appeals Council, federal court.",long disability backlog; representative payee issues; CDR terminations,CAPI state-funded supplement,verified official source,2026-05,Source URL corrected during May 2026 audit. California pays SSP automatically to SSI recipients; CAPI is state-only for certain immigrants.
ca-ccdf,California,CA,West,Child Care Subsidies (CCDF),"California Child Care Subsidy Programs (CalWORKs Stages 1/2/3, Alternative Payment, CCTR, CSPP)","California Department of Social Services (CDSS, Child Care and Development Division)",https://www.cdss.ca.gov/inforesources/child-care-and-development,https://www.cdss.ca.gov/inforesources/child-care-and-development,https://www.acf.hhs.gov/occ,Subsidized child care,Low-income working families; CalWORKs families; families needing protective services,income (SMI); need (work/training/protective); family size,Eligibility tied to State Median Income thresholds; verify current SMI table.,"Need-for-care typically established by work, training, or protective services.",Generally available regardless of parent immigration status if child is eligible; verify with provider.,12-month eligibility minimum per federal rule; recertification thereafter.,Apply via local Resource & Referral (R&R) agency or Alternative Payment Program.,Due-process notices and appeal rights through CDSS.,waitlist; reimbursement rate gaps; provider shortage,12-month continuous eligibility; family fee reforms,verified official source,2025-01,Child care administration transferred from CDE to CDSS in 2021 for most subsidy programs.
